연도,"다이오드, 트랜지스터 및 유사 반도체소자-생산지수","다이오드, 트랜지스터 및 유사 반도체소자-재고지수",자동차부품-생산지수,자동차부품-재고지수,반도체·디스플레이장비-생산지수,반도체·디스플레이장비-재고지수
2019-01,155.0,124.0,101.9,130.5,111.6,107.1
2019-02,137.9,129.9,82.2,131.9,104.9,96.4
2019-03,166.3,120.6,102.5,130.8,124.9,87.5
2019-04,154.3,130.5,105.6,131.6,116.5,94.3
2019-05,158.7,125.9,104.7,132.0,116.8,95.8
2019-06,167.6,119.5,97.6,133.4,124.6,92.2
2019-07,170.2,137.3,106.2,134.0,107.8,101.3
2019-08,168.8,131.9,84.6,135.4,98.4,97.8
2019-09,177.0,124.3,89.8,137.1,113.9,108.4
2019-10,174.6,135.7,103.7,137.2,109.6,107.8
2019-11,175.1,148.3,99.0,138.2,128.8,110.9
2019-12,183.2,166.2,99.5,122.5,199.9,71.6
2020-01,166.0,165.8,85.6,144.0,116.6,86.9
2020-02,157.9,158.8,76.8,150.4,118.0,80.6
2020-03,179.6,145.6,106.0,149.2,160.3,79.6
2020-04,166.5,146.1,82.8,157.7,175.9,84.2
2020-05,169.3,150.0,64.7,155.1,148.5,82.8
2020-06,180.6,145.4,79.4,150.0,154.2,86.4
2020-07,170.0,157.7,96.9,146.4,174.6,93.5
2020-08,176.7,158.0,78.0,145.5,155.7,90.6
2020-09,190.1,142.1,106.1,145.0,155.3,96.2
2020-10,181.3,144.9,104.6,138.4,132.8,97.5
2020-11,188.0,150.4,108.4,139.8,144.8,109.3
2020-12,220.5,167.7,98.6,131.7,193.3,94.9
2021-01,178.8,171.5,109.3,145.3,162.2,105.3
2021-02,173.5,165.2,99.2,143.9,157.3,107.8
2021-03,235.0,160.6,114.0,139.9,216.8,102.4
2021-04,224.1,154.5,108.4,143.0,210.8,101.8
2021-05,223.8,133.5,99.1,147.1,195.0,104.2
2021-06,243.4,115.1,106.2,143.4,202.4,109.4
2021-07,232.4,149.2,103.8,145.7,189.3,105.6
2021-08,246.0,140.0,89.4,155.9,161.5,115.2
2021-09,253.5,145.9,86.1,162.6,158.6,111.1
2021-10,223.6,166.6,94.4,153.9,165.8,110.8
2021-11,250.0,179.7,102.8,158.1,156.4,119.0
2021-12,241.8,177.5,102.6,142.8,186.6,102.3
2022-01,226.7,230.1,105.6,162.2,157.1,117.5
2022-02,182.3,215.8,103.4,163.8,130.2,123.7
2022-03,217.5,196.6,106.5,160.3,146.0,107.1
2022-04,239.9,200.1,106.6,163.8,155.5,107.4
2022-05,221.8,185.1,110.2,162.1,179.4,118.0
